Quantity,Value,LCSC,MOQ ,Price,Link,
2,16pF,C161307,20,$0.89 ,https://www.lcsc.com/product-detail/C161307.html?s_z=n_q_C161307&globalKeyword=C161307,
5,100nF,C49678,20,$0.47 ,https://www.lcsc.com/product-detail/C49678.html?s_z=n_q_C49678&globalKeyword=C49678,
5,22uF,C296720,10,$1.17 ,https://www.lcsc.com/product-detail/C296720.html?s_z=n_q_C296720&globalKeyword=C296720,
29,100nF,C426067,40,$1.86 ,https://www.lcsc.com/product-detail/C426067.html?s_z=n_q_C426067&globalKeyword=C426067,
6,10uF,C77000,10,$0.94 ,https://www.lcsc.com/product-detail/C77000.html?s_z=n_q_C77000&globalKeyword=C77000,
5,SMBJ5.0,C78424,10,$0.63 ,https://www.lcsc.com/product-detail/C78424.html?s_z=n_q_C78424&globalKeyword=C78424,
1,1x8p,C41425311,10,$0.44 ,https://www.lcsc.com/product-detail/C41425311.html?s_z=n_q_C41425311&globalKeyword=C41425311,
1,10uH,C19634061,10,$0.68 ,https://www.lcsc.com/product-detail/C19634061.html?s_z=n_q_C19634061&globalKeyword=C19634061,
5,LED,C965895,10,$0.53 ,https://www.lcsc.com/product-detail/C965895.html?s_z=n_q_C965895&globalKeyword=C965895,
1,6.2k,C2909371,100,$0.19 ,https://www.lcsc.com/product-detail/C2909371.html?s_z=n_q_C2909371&globalKeyword=C2909371,
1,6.8k,C2906876,100,$0.21 ,https://www.lcsc.com/product-detail/C2906876.html?s_z=n_q_C2906876&globalKeyword=C2906876,
1,4.7k,C281778,20,$0.69 ,https://www.lcsc.com/product-detail/C281778.html?s_z=n_q_C281778&globalKeyword=C281778,
4,470R,C100443,100,$0.24 ,https://www.lcsc.com/product-detail/C100443.html?s_z=n_q_C100443&globalKeyword=C100443,
5,10k,C2906861,100,$0.25 ,https://www.lcsc.com/product-detail/C2906861.html?s_z=n_q_C2906861&globalKeyword=C2906861,
2,0R,C2906877,100,$0.16 ,https://www.lcsc.com/product-detail/C2906877.html?s_z=n_q_C2906877&globalKeyword=C2906877,
1,Crystal,C2931198,1,$0.35 ,https://www.lcsc.com/product-detail/C2931198.html?s_z=n_q_C2931198&globalKeyword=C2931198,
1,VL182,C69417,5,$10.74 ,https://jlcpcb.com/partdetail/VIALabs-VL812/C69417,
4,USBFemale,C51927039,5,$0.66 ,https://www.lcsc.com/product-detail/C51927039.html?s_z=n_q_C51927039&globalKeyword=C51927039,
1,USBMale,C7501854,5,$0.55 ,https://www.lcsc.com/product-detail/C7501854.html?s_z=n_q_C7501854&globalKeyword=C7501854,
1,SY6280A,C207620,5,$0.51 ,https://www.lcsc.com/product-detail/C207620.html?s_z=n_q_C207620&globalKeyword=C207620, 
,4 Layer PCB (JLCPCB),,,$9 ,,
,Shipping (SG Post + E post) ,,,$15 ,,
,,,,,,
,,Total,,$46.16 ,,
